   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_slv_4_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_slv_4_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
             |              609966 ns|              609991 ns|RD-DATA   | A582D8E0 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610016 ns|              610021 ns|RD-NONSEQ | A582D8D0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              610016 ns|              610021 ns|RD-NONSEQ | A582D8D0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              609991 ns|              610021 ns|WR-DATA   | A582DBF4 |  1/ 1 | -- | B8FAF538 |  OKAY  | ---- | ------- | - | ---------- |
             |              609991 ns|              610021 ns|WR-DATA   | A582DBF4 |  1/ 1 | -- | B8FAF538 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610041 ns|              610046 ns|WR-NONSEQ | A582DA58 | ----- |  1 | -------- |  ----  |SINGLE|    4    | F |           0|
             |              610041 ns|              610046 ns|WR-NONSEQ | A582DA58 | ----- |  1 | -------- |  ----  |SINGLE|    4    | F |           0|
   Picked  : |              610021 ns|              610046 ns|RD-DATA   | A582D8D0 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              610021 ns|              610046 ns|RD-DATA   | A582D8D0 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610071 ns|              610076 ns|RD-NONSEQ | A582D900 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
             |              610071 ns|              610076 ns|RD-NONSEQ | A582D900 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
   Picked  : |              610046 ns|              610076 ns|WR-DATA   | A582DA58 |  1/ 1 | -- | 94385A44 |  OKAY  | ---- | ------- | - | ---------- |
             |              610046 ns|              610076 ns|WR-DATA   | A582DA58 |  1/ 1 | -- | 94385A44 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610096 ns|              610101 ns|WR-NONSEQ | A582DB1C | ----- |  1 | -------- |  ----  |SINGLE|    4    | C |           0|
             |              610096 ns|              610101 ns|WR-NONSEQ | A582DB1C | ----- |  1 | -------- |  ----  |SINGLE|    4    | C |           0|
   Picked  : |              610076 ns|              610101 ns|RD-DATA   | A582D900 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              610076 ns|              610101 ns|RD-DATA   | A582D900 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610126 ns|              610131 ns|RD-NONSEQ | A582DB54 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
             |              610126 ns|              610131 ns|RD-NONSEQ | A582DB54 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
   Picked  : |              610101 ns|              610131 ns|WR-DATA   | A582DB1C |  1/ 1 | -- | B2C9490E |  OKAY  | ---- | ------- | - | ---------- |
             |              610101 ns|              610131 ns|WR-DATA   | A582DB1C |  1/ 1 | -- | B2C9490E |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610151 ns|              610156 ns|WR-NONSEQ | A582D96C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
             |              610151 ns|              610156 ns|WR-NONSEQ | A582D96C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
   Picked  : |              610131 ns|              610156 ns|RD-DATA   | A582DB54 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              610131 ns|              610156 ns|RD-DATA   | A582DB54 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610181 ns|              610186 ns|RD-NONSEQ | A582D8E4 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
             |              610181 ns|              610186 ns|RD-NONSEQ | A582D8E4 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
   Picked  : |              610156 ns|              610186 ns|WR-DATA   | A582D96C |  1/ 1 | -- | 28CF1C49 |  OKAY  | ---- | ------- | - | ---------- |
             |              610156 ns|              610186 ns|WR-DATA   | A582D96C |  1/ 1 | -- | 28CF1C49 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610206 ns|              610211 ns|WR-NONSEQ | A582DBAC | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              610206 ns|              610211 ns|WR-NONSEQ | A582DBAC | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              610186 ns|              610211 ns|RD-DATA   | A582D8E4 |  1/ 1 | -- | 06F37190 |  OKAY  | ---- | ------- | - | ---------- |
             |              610186 ns|              610211 ns|RD-DATA   | A582D8E4 |  1/ 1 | -- | 06F37190 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610236 ns|              610241 ns|RD-NONSEQ | A582DB20 | ----- |  1 | -------- |  ----  |SINGLE|    4    | C |           0|
             |              610236 ns|              610241 ns|RD-NONSEQ | A582DB20 | ----- |  1 | -------- |  ----  |SINGLE|    4    | C |           0|
   Picked  : |              610211 ns|              610241 ns|WR-DATA   | A582DBAC |  1/ 1 | -- | C38216FB |  OKAY  | ---- | ------- | - | ---------- |
             |              610211 ns|              610241 ns|WR-DATA   | A582DBAC |  1/ 1 | -- | C38216FB |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              610261 ns|              610266 ns|WR-NONSEQ | A582DB94 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
             |              610261 ns|              610266 ns|WR-NONSEQ | A582DB94 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
   Picked  : |              610241 ns|              610266 ns|RD-DATA   | A582DB20 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              610241 ns|              610266 ns|RD-DATA   | A582DB20 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
