Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5 ns; AHB Clk Frequency = 200.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              768751 ns|              768861 ns|RD-DATA   | AFCDDBA0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              768861 ns|              768866 ns|RD-DATA   | AFCDDBA4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              768866 ns|              768871 ns|RD-DATA   | AFCDDBA8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              768871 ns|              768876 ns|RD-NONSEQ | AFCDDB90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              768871 ns|              768876 ns|RD-DATA   | AFCDDBAC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              768876 ns|              768986 ns|RD-DATA   | AFCDDB90 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              768986 ns|              768991 ns|RD-DATA   | AFCDDB94 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              768991 ns|              768996 ns|RD-DATA   | AFCDDB98 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              768996 ns|              769001 ns|RD-NONSEQ | AFCDDB80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              768996 ns|              769001 ns|RD-DATA   | AFCDDB9C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769001 ns|              769111 ns|RD-DATA   | AFCDDB80 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769111 ns|              769116 ns|RD-DATA   | AFCDDB84 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769116 ns|              769121 ns|RD-DATA   | AFCDDB88 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769121 ns|              769126 ns|RD-NONSEQ | AFCDDB70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 2 |           0|
|              769121 ns|              769126 ns|RD-DATA   | AFCDDB8C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769126 ns|              769236 ns|RD-DATA   | AFCDDB70 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769236 ns|              769241 ns|RD-DATA   | AFCDDB74 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769241 ns|              769246 ns|RD-DATA   | AFCDDB78 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769246 ns|              769251 ns|RD-NONSEQ | AFCDDB60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              769246 ns|              769251 ns|RD-DATA   | AFCDDB7C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769251 ns|              769361 ns|RD-DATA   | AFCDDB60 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769361 ns|              769366 ns|RD-DATA   | AFCDDB64 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769366 ns|              769371 ns|RD-DATA   | AFCDDB68 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769371 ns|              769376 ns|RD-NONSEQ | AFCDDB50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              769371 ns|              769376 ns|RD-DATA   | AFCDDB6C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769376 ns|              769486 ns|RD-DATA   | AFCDDB50 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769486 ns|              769491 ns|RD-DATA   | AFCDDB54 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769491 ns|              769496 ns|RD-DATA   | AFCDDB58 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769496 ns|              769501 ns|RD-NONSEQ | AFCDDB40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              769496 ns|              769501 ns|RD-DATA   | AFCDDB5C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769501 ns|              769611 ns|RD-DATA   | AFCDDB40 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769611 ns|              769616 ns|RD-DATA   | AFCDDB44 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769616 ns|              769621 ns|RD-DATA   | AFCDDB48 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769621 ns|              769626 ns|RD-NONSEQ | AFCDDB30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 6 |           0|
|              769621 ns|              769626 ns|RD-DATA   | AFCDDB4C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769626 ns|              769736 ns|RD-DATA   | AFCDDB30 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769736 ns|              769741 ns|RD-DATA   | AFCDDB34 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769741 ns|              769746 ns|RD-DATA   | AFCDDB38 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769746 ns|              769751 ns|RD-NONSEQ | AFCDDB20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              769746 ns|              769751 ns|RD-DATA   | AFCDDB3C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769751 ns|              769861 ns|RD-DATA   | AFCDDB20 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769861 ns|              769866 ns|RD-DATA   | AFCDDB24 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769866 ns|              769871 ns|RD-DATA   | AFCDDB28 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769871 ns|              769876 ns|RD-NONSEQ | AFCDDB10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              769871 ns|              769876 ns|RD-DATA   | AFCDDB2C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769876 ns|              769986 ns|RD-DATA   | AFCDDB10 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769986 ns|              769991 ns|RD-DATA   | AFCDDB14 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769991 ns|              769996 ns|RD-DATA   | AFCDDB18 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              769996 ns|              770001 ns|RD-NONSEQ | AFCDDB00 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              769996 ns|              770001 ns|RD-DATA   | AFCDDB1C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770001 ns|              770111 ns|RD-DATA   | AFCDDB00 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770111 ns|              770116 ns|RD-DATA   | AFCDDB04 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770116 ns|              770121 ns|RD-DATA   | AFCDDB08 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770121 ns|              770126 ns|RD-NONSEQ | AFCDDAF0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              770121 ns|              770126 ns|RD-DATA   | AFCDDB0C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770126 ns|              770236 ns|RD-DATA   | AFCDDAF0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770236 ns|              770241 ns|RD-DATA   | AFCDDAF4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770241 ns|              770246 ns|RD-DATA   | AFCDDAF8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770246 ns|              770251 ns|RD-NONSEQ | AFCDDAE0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              770246 ns|              770251 ns|RD-DATA   | AFCDDAFC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770251 ns|              770361 ns|RD-DATA   | AFCDDAE0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770361 ns|              770366 ns|RD-DATA   | AFCDDAE4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770366 ns|              770371 ns|RD-DATA   | AFCDDAE8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770371 ns|              770376 ns|RD-NONSEQ | AFCDDAD0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              770371 ns|              770376 ns|RD-DATA   | AFCDDAEC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770376 ns|              770486 ns|RD-DATA   | AFCDDAD0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770486 ns|              770491 ns|RD-DATA   | AFCDDAD4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770491 ns|              770496 ns|RD-DATA   | AFCDDAD8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770496 ns|              770501 ns|RD-NONSEQ | AFCDDAC0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              770496 ns|              770501 ns|RD-DATA   | AFCDDADC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770501 ns|              770611 ns|RD-DATA   | AFCDDAC0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770611 ns|              770616 ns|RD-DATA   | AFCDDAC4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770616 ns|              770621 ns|RD-DATA   | AFCDDAC8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770621 ns|              770626 ns|RD-NONSEQ | AFCDDAB0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 8 |           0|
|              770621 ns|              770626 ns|RD-DATA   | AFCDDACC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770626 ns|              770736 ns|RD-DATA   | AFCDDAB0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770736 ns|              770741 ns|RD-DATA   | AFCDDAB4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770741 ns|              770746 ns|RD-DATA   | AFCDDAB8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770746 ns|              770751 ns|RD-NONSEQ | AFCDDAA0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 5 |           0|
|              770746 ns|              770751 ns|RD-DATA   | AFCDDABC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770751 ns|              770861 ns|RD-DATA   | AFCDDAA0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770861 ns|              770866 ns|RD-DATA   | AFCDDAA4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770866 ns|              770871 ns|RD-DATA   | AFCDDAA8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770871 ns|              770876 ns|RD-NONSEQ | AFCDDA90 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              770871 ns|              770876 ns|RD-DATA   | AFCDDAAC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770876 ns|              770986 ns|RD-DATA   | AFCDDA90 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770986 ns|              770991 ns|RD-DATA   | AFCDDA94 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770991 ns|              770996 ns|RD-DATA   | AFCDDA98 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              770996 ns|              771001 ns|RD-NONSEQ | AFCDDA80 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              770996 ns|              771001 ns|RD-DATA   | AFCDDA9C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771001 ns|              771111 ns|RD-DATA   | AFCDDA80 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771111 ns|              771116 ns|RD-DATA   | AFCDDA84 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771116 ns|              771121 ns|RD-DATA   | AFCDDA88 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771121 ns|              771126 ns|RD-NONSEQ | AFCDDA70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              771121 ns|              771126 ns|RD-DATA   | AFCDDA8C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771126 ns|              771236 ns|RD-DATA   | AFCDDA70 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771236 ns|              771241 ns|RD-DATA   | AFCDDA74 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771241 ns|              771246 ns|RD-DATA   | AFCDDA78 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771246 ns|              771251 ns|RD-NONSEQ | AFCDDA60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 5 |           0|
|              771246 ns|              771251 ns|RD-DATA   | AFCDDA7C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771251 ns|              771361 ns|RD-DATA   | AFCDDA60 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771361 ns|              771366 ns|RD-DATA   | AFCDDA64 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771366 ns|              771371 ns|RD-DATA   | AFCDDA68 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771371 ns|              771376 ns|RD-NONSEQ | AFCDDA50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              771371 ns|              771376 ns|RD-DATA   | AFCDDA6C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771376 ns|              771486 ns|RD-DATA   | AFCDDA50 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771486 ns|              771491 ns|RD-DATA   | AFCDDA54 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771491 ns|              771496 ns|RD-DATA   | AFCDDA58 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771496 ns|              771501 ns|RD-NONSEQ | AFCDDA40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 6 |           0|
|              771496 ns|              771501 ns|RD-DATA   | AFCDDA5C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771501 ns|              771611 ns|RD-DATA   | AFCDDA40 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771611 ns|              771616 ns|RD-DATA   | AFCDDA44 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771616 ns|              771621 ns|RD-DATA   | AFCDDA48 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771621 ns|              771626 ns|RD-NONSEQ | AFCDDA30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 2 |           0|
|              771621 ns|              771626 ns|RD-DATA   | AFCDDA4C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771626 ns|              771736 ns|RD-DATA   | AFCDDA30 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771736 ns|              771741 ns|RD-DATA   | AFCDDA34 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771741 ns|              771746 ns|RD-DATA   | AFCDDA38 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771746 ns|              771751 ns|RD-NONSEQ | AFCDDA20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              771746 ns|              771751 ns|RD-DATA   | AFCDDA3C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771751 ns|              771861 ns|RD-DATA   | AFCDDA20 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771861 ns|              771866 ns|RD-DATA   | AFCDDA24 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771866 ns|              771871 ns|RD-DATA   | AFCDDA28 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771871 ns|              771876 ns|RD-NONSEQ | AFCDDA10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | B |           0|
|              771871 ns|              771876 ns|RD-DATA   | AFCDDA2C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771876 ns|              771986 ns|RD-DATA   | AFCDDA10 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771986 ns|              771991 ns|RD-DATA   | AFCDDA14 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771991 ns|              771996 ns|RD-DATA   | AFCDDA18 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              771996 ns|              772001 ns|RD-NONSEQ | AFCDDA00 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              771996 ns|              772001 ns|RD-DATA   | AFCDDA1C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772001 ns|              772111 ns|RD-DATA   | AFCDDA00 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772111 ns|              772116 ns|RD-DATA   | AFCDDA04 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772116 ns|              772121 ns|RD-DATA   | AFCDDA08 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772121 ns|              772126 ns|RD-NONSEQ | AFCDD9F0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              772121 ns|              772126 ns|RD-DATA   | AFCDDA0C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772126 ns|              772236 ns|RD-DATA   | AFCDD9F0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772236 ns|              772241 ns|RD-DATA   | AFCDD9F4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772241 ns|              772246 ns|RD-DATA   | AFCDD9F8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772246 ns|              772251 ns|RD-NONSEQ | AFCDD9E0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              772246 ns|              772251 ns|RD-DATA   | AFCDD9FC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772251 ns|              772361 ns|RD-DATA   | AFCDD9E0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772361 ns|              772366 ns|RD-DATA   | AFCDD9E4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772366 ns|              772371 ns|RD-DATA   | AFCDD9E8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772371 ns|              772376 ns|RD-NONSEQ | AFCDD9D0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              772371 ns|              772376 ns|RD-DATA   | AFCDD9EC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772376 ns|              772486 ns|RD-DATA   | AFCDD9D0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772486 ns|              772491 ns|RD-DATA   | AFCDD9D4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772491 ns|              772496 ns|RD-DATA   | AFCDD9D8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772496 ns|              772501 ns|RD-NONSEQ | AFCDD9C0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | A |           0|
|              772496 ns|              772501 ns|RD-DATA   | AFCDD9DC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772501 ns|              772611 ns|RD-DATA   | AFCDD9C0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772611 ns|              772616 ns|RD-DATA   | AFCDD9C4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772616 ns|              772621 ns|RD-DATA   | AFCDD9C8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772621 ns|              772626 ns|RD-NONSEQ | AFCDD9B0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              772621 ns|              772626 ns|RD-DATA   | AFCDD9CC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772626 ns|              772736 ns|RD-DATA   | AFCDD9B0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772736 ns|              772741 ns|RD-DATA   | AFCDD9B4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772741 ns|              772746 ns|RD-DATA   | AFCDD9B8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772746 ns|              772751 ns|RD-NONSEQ | AFCDD9A0 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              772746 ns|              772751 ns|RD-DATA   | AFCDD9BC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772751 ns|              772861 ns|RD-DATA   | AFCDD9A0 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772861 ns|              772866 ns|RD-DATA   | AFCDD9A4 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772866 ns|              772871 ns|RD-DATA   | AFCDD9A8 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772871 ns|              772876 ns|RD-NONSEQ | AFCDD990 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 1 |           0|
|              772871 ns|              772876 ns|RD-DATA   | AFCDD9AC |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772876 ns|              772986 ns|RD-DATA   | AFCDD990 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772986 ns|              772991 ns|RD-DATA   | AFCDD994 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772991 ns|              772996 ns|RD-DATA   | AFCDD998 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              772996 ns|              773001 ns|RD-NONSEQ | AFCDD980 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              772996 ns|              773001 ns|RD-DATA   | AFCDD99C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773001 ns|              773111 ns|RD-DATA   | AFCDD980 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773111 ns|              773116 ns|RD-DATA   | AFCDD984 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773116 ns|              773121 ns|RD-DATA   | AFCDD988 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773121 ns|              773126 ns|RD-NONSEQ | AFCDD970 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              773121 ns|              773126 ns|RD-DATA   | AFCDD98C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773126 ns|              773236 ns|RD-DATA   | AFCDD970 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773236 ns|              773241 ns|RD-DATA   | AFCDD974 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773241 ns|              773246 ns|RD-DATA   | AFCDD978 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773246 ns|              773251 ns|RD-NONSEQ | AFCDD960 | ----- |  4 | -------- |  ----  |INCR4 |    4    | F |           0|
|              773246 ns|              773251 ns|RD-DATA   | AFCDD97C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773251 ns|              773361 ns|RD-DATA   | AFCDD960 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773361 ns|              773366 ns|RD-DATA   | AFCDD964 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773366 ns|              773371 ns|RD-DATA   | AFCDD968 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773371 ns|              773376 ns|RD-NONSEQ | AFCDD950 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 9 |           0|
|              773371 ns|              773376 ns|RD-DATA   | AFCDD96C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773376 ns|              773486 ns|RD-DATA   | AFCDD950 |  2/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773486 ns|              773491 ns|RD-DATA   | AFCDD954 |  3/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773491 ns|              773496 ns|RD-DATA   | AFCDD958 |  4/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
|              773496 ns|              773501 ns|RD-NONSEQ | AFCDD940 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 4 |           0|
|              773496 ns|              773501 ns|RD-DATA   | AFCDD95C |  1/ 4 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
