Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5 ns; AHB Clk Frequency = 200.00 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|              678461 ns|              678466 ns|WR-DATA   | AFCD6CF4 |  3/ 4 | -- | C5F649FE |  OKAY  | ---- | ------- | - | ---------- |
|              678466 ns|              678471 ns|WR-DATA   | AFCD6CF8 |  4/ 4 | -- | F7167AD9 |  OKAY  | ---- | ------- | - | ---------- |
|              678471 ns|              678511 ns|WR-NONSEQ | AFCD6D00 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 4 |           0|
|              678471 ns|              678511 ns|WR-DATA   | AFCD6CFC |  1/ 4 | -- | A95790BD |  OKAY  | ---- | ------- | - | ---------- |
|              678511 ns|              678521 ns|WR-DATA   | AFCD6D00 |  2/ 4 | -- | 56C165E4 |  OKAY  | ---- | ------- | - | ---------- |
|              678521 ns|              678526 ns|WR-DATA   | AFCD6D04 |  3/ 4 | -- | D017D465 |  OKAY  | ---- | ------- | - | ---------- |
|              678526 ns|              678531 ns|WR-DATA   | AFCD6D08 |  4/ 4 | -- | 0309E059 |  OKAY  | ---- | ------- | - | ---------- |
|              678531 ns|              678571 ns|WR-NONSEQ | AFCD6D10 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              678531 ns|              678571 ns|WR-DATA   | AFCD6D0C |  1/ 4 | -- | 95F68FC8 |  OKAY  | ---- | ------- | - | ---------- |
|              678571 ns|              678581 ns|WR-DATA   | AFCD6D10 |  2/ 4 | -- | 2D7EC06D |  OKAY  | ---- | ------- | - | ---------- |
|              678581 ns|              678586 ns|WR-DATA   | AFCD6D14 |  3/ 4 | -- | A3B15300 |  OKAY  | ---- | ------- | - | ---------- |
|              678586 ns|              678591 ns|WR-DATA   | AFCD6D18 |  4/ 4 | -- | AFB3E37C |  OKAY  | ---- | ------- | - | ---------- |
|              678591 ns|              678631 ns|WR-NONSEQ | AFCD6D20 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 4 |           0|
|              678591 ns|              678631 ns|WR-DATA   | AFCD6D1C |  1/ 4 | -- | 42C97680 |  OKAY  | ---- | ------- | - | ---------- |
|              678631 ns|              678641 ns|WR-DATA   | AFCD6D20 |  2/ 4 | -- | DE113F43 |  OKAY  | ---- | ------- | - | ---------- |
|              678641 ns|              678646 ns|WR-DATA   | AFCD6D24 |  3/ 4 | -- | D7CFBD3D |  OKAY  | ---- | ------- | - | ---------- |
|              678646 ns|              678651 ns|WR-DATA   | AFCD6D28 |  4/ 4 | -- | B784C62F |  OKAY  | ---- | ------- | - | ---------- |
|              678651 ns|              678691 ns|WR-NONSEQ | AFCD6D30 | ----- |  4 | -------- |  ----  |INCR4 |    4    | C |           0|
|              678651 ns|              678691 ns|WR-DATA   | AFCD6D2C |  1/ 4 | -- | A86CBDCE |  OKAY  | ---- | ------- | - | ---------- |
|              678691 ns|              678701 ns|WR-DATA   | AFCD6D30 |  2/ 4 | -- | 7953C12D |  OKAY  | ---- | ------- | - | ---------- |
|              678701 ns|              678706 ns|WR-DATA   | AFCD6D34 |  3/ 4 | -- | 98EB218A |  OKAY  | ---- | ------- | - | ---------- |
|              678706 ns|              678711 ns|WR-DATA   | AFCD6D38 |  4/ 4 | -- | C1EABAC3 |  OKAY  | ---- | ------- | - | ---------- |
|              678711 ns|              678756 ns|WR-NONSEQ | AFCD6D40 | ----- |  4 | -------- |  ----  |INCR4 |    4    | D |           0|
|              678711 ns|              678756 ns|WR-DATA   | AFCD6D3C |  1/ 4 | -- | B22CCA63 |  OKAY  | ---- | ------- | - | ---------- |
|              678756 ns|              678766 ns|WR-DATA   | AFCD6D40 |  2/ 4 | -- | 6B072DBA |  OKAY  | ---- | ------- | - | ---------- |
|              678766 ns|              678771 ns|WR-DATA   | AFCD6D44 |  3/ 4 | -- | 0A2D83B6 |  OKAY  | ---- | ------- | - | ---------- |
|              678771 ns|              678776 ns|WR-DATA   | AFCD6D48 |  4/ 4 | -- | 792E28EA |  OKAY  | ---- | ------- | - | ---------- |
|              678776 ns|              678821 ns|WR-NONSEQ | AFCD6D50 | ----- |  4 | -------- |  ----  |INCR4 |    4    | E |           0|
|              678776 ns|              678821 ns|WR-DATA   | AFCD6D4C |  1/ 4 | -- | 36866BAB |  OKAY  | ---- | ------- | - | ---------- |
|              678821 ns|              678831 ns|WR-DATA   | AFCD6D50 |  2/ 4 | -- | 02E41F0A |  OKAY  | ---- | ------- | - | ---------- |
|              678831 ns|              678836 ns|WR-DATA   | AFCD6D54 |  3/ 4 | -- | CF5D15B0 |  OKAY  | ---- | ------- | - | ---------- |
|              678836 ns|              678841 ns|WR-DATA   | AFCD6D58 |  4/ 4 | -- | 413C3265 |  OKAY  | ---- | ------- | - | ---------- |
|              678841 ns|              678886 ns|WR-NONSEQ | AFCD6D60 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 0 |           0|
|              678841 ns|              678886 ns|WR-DATA   | AFCD6D5C |  1/ 4 | -- | F024F4A9 |  OKAY  | ---- | ------- | - | ---------- |
|              678886 ns|              678896 ns|WR-DATA   | AFCD6D60 |  2/ 4 | -- | AFE8F425 |  OKAY  | ---- | ------- | - | ---------- |
|              678896 ns|              678901 ns|WR-DATA   | AFCD6D64 |  3/ 4 | -- | B3D8C3FD |  OKAY  | ---- | ------- | - | ---------- |
|              678901 ns|              678906 ns|WR-DATA   | AFCD6D68 |  4/ 4 | -- | D5DFF127 |  OKAY  | ---- | ------- | - | ---------- |
|              678906 ns|              678946 ns|WR-NONSEQ | AFCD6D70 | ----- |  4 | -------- |  ----  |INCR4 |    4    | 7 |           0|
|              678906 ns|              678946 ns|WR-DATA   | AFCD6D6C |  1/ 4 | -- | BD1E6B38 |  OKAY  | ---- | ------- | - | ---------- |
|              678946 ns|              678956 ns|WR-DATA   | AFCD6D70 |  2/ 4 | -- | 19C3797A |  OKAY  | ---- | ------- | - | ---------- |
|              678956 ns|              678961 ns|WR-DATA   | AFCD6D74 |  3/ 4 | -- | E90D44F0 |  OKAY  | ---- | ------- | - | ---------- |
