   Picked  : Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb :: Header
             Instance: uvm_test_top.top_env_i.ahbfab_env_i.mvc_ahb_mon_8_env_i.logger_handle_ahb
   Picked  : AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
             AHB Clk Cycle = 40 ns; AHB Clk Frequency = 25.00 MHz; Data bus width = 32 bits
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Skipped : |NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
   Skipped : |                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
   Skipped : |                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
   Skipped : |                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         | T |            |
   Skipped : |                       |                       |          |          |       |    |          |        |      |         |   |            |
   Skipped : ------------------------------------------------------------------------------------------------------------------------------------------
   Picked  : |              297430 ns|              297700 ns|WR-DATA   | F8320018 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
             |              297430 ns|              297700 ns|WR-DATA   | F8320018 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              297750 ns|              297755 ns|RD-NONSEQ | F832200C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              297750 ns|              297755 ns|RD-NONSEQ | F832200C | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              297755 ns|              297990 ns|RD-DATA   | F832200C |  1/ 1 | -- | 00190003 |  OKAY  | ---- | ------- | - | ---------- |
             |              297755 ns|              297990 ns|RD-DATA   | F832200C |  1/ 1 | -- | 00190003 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              298040 ns|              298045 ns|RD-NONSEQ | F8322010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              298040 ns|              298045 ns|RD-NONSEQ | F8322010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              298045 ns|              298300 ns|RD-DATA   | F8322010 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
             |              298045 ns|              298300 ns|RD-DATA   | F8322010 |  1/ 1 | -- | 00000001 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              298355 ns|              298360 ns|WR-NONSEQ | F8322010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              298355 ns|              298360 ns|WR-NONSEQ | F8322010 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              298360 ns|              298630 ns|WR-DATA   | F8322010 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              298360 ns|              298630 ns|WR-DATA   | F8322010 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              298685 ns|              298690 ns|WR-NONSEQ | F8312060 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
             |              298685 ns|              298690 ns|WR-NONSEQ | F8312060 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
   Picked  : |              298690 ns|              298980 ns|WR-DATA   | F8312060 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
             |              298690 ns|              298980 ns|WR-DATA   | F8312060 |  1/ 1 | -- | 00000000 |  OKAY  | ---- | ------- | - | ---------- |
   Picked  : |              299035 ns|              299040 ns|WR-NONSEQ | 48250020 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 0 |           0|
