Instance: uvm_test_top.ahbfab_env_i.mvc_ahb_mst_5_env_i.logger_handle_ahb
AHB Clk Cycle = 5026 ps; AHB Clk Frequency = 198.97 MHz; Data bus width = 32 bits
------------------------------------------------------------------------------------------------------------------------------------------
|NONSEQ/SEQ Assert Time |  HREADY Assert Time   |  DIR     |   ADDR   | BEAT  |  L |   DATA   |  RESP  | BURST| BURST   | H |    HSEL    |
|                       |                       |   -      |          |  NUM  |  E |          |        | Type | Size    | P |   (SLAVE   |
|                       |                       | PHASE    |          |       |  N |          |        |      |= 2^HSIZE| R |    INDEX)  |
|                       |                       |          |          |       |    |          |        |      | bytes   | O |            |
|                       |                       |          |          |       |    |          |        |      |         | T |            |
|                       |                       |          |          |       |    |          |        |      |         |   |            |
------------------------------------------------------------------------------------------------------------------------------------------
|             6777298 ps|             6782224 ps|WR-DATA   | 3FF17250 |  1/ 1 | -- | 937CD57B |  OKAY  | ---- | ------- | - | ---------- |
|             6782224 ps|             6787324 ps|WR-NONSEQ | 3FF17270 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 6 |           0|
|             6782224 ps|             6787324 ps|WR-DATA   | 3FF17260 |  1/ 1 | -- | 9DEE23F4 |  OKAY  | ---- | ------- | - | ---------- |
|             6787324 ps|             6792324 ps|WR-NONSEQ | 3FF17280 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
|             6787324 ps|             6792324 ps|WR-DATA   | 3FF17270 |  1/ 1 | -- | 715C2B5F |  OKAY  | ---- | ------- | - | ---------- |
|             6792324 ps|             6797350 ps|WR-NONSEQ | 3FF17290 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 5 |           0|
|             6792324 ps|             6797350 ps|WR-DATA   | 3FF17280 |  1/ 1 | -- | 4790D4DA |  OKAY  | ---- | ------- | - | ---------- |
|             6797350 ps|             6802426 ps|WR-NONSEQ | 3FF172A0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 4 |           0|
|             6797350 ps|             6802426 ps|WR-DATA   | 3FF17290 |  1/ 1 | -- | 8AEC2ABA |  OKAY  | ---- | ------- | - | ---------- |
|             6802426 ps|             6807502 ps|WR-NONSEQ | 3FF172B0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
|             6802426 ps|             6807502 ps|WR-DATA   | 3FF172A0 |  1/ 1 | -- | 02B9FC17 |  OKAY  | ---- | ------- | - | ---------- |
|             6807502 ps|             6812602 ps|WR-NONSEQ | 3FF172C0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | E |           0|
|             6807502 ps|             6812602 ps|WR-DATA   | 3FF172B0 |  1/ 1 | -- | 6A14C4FC |  OKAY  | ---- | ------- | - | ---------- |
|             6812602 ps|             6817552 ps|WR-NONSEQ | 3FF172D0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6812602 ps|             6817552 ps|WR-DATA   | 3FF172C0 |  1/ 1 | -- | 886F06B4 |  OKAY  | ---- | ------- | - | ---------- |
|             6817552 ps|             6822528 ps|WR-NONSEQ | 3FF172E0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 8 |           0|
|             6817552 ps|             6822528 ps|WR-DATA   | 3FF172D0 |  1/ 1 | -- | BEF3404D |  OKAY  | ---- | ------- | - | ---------- |
|             6822528 ps|             6827428 ps|WR-NONSEQ | 3FF172F0 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
|             6822528 ps|             6827428 ps|WR-DATA   | 3FF172E0 |  1/ 1 | -- | B73D08F9 |  OKAY  | ---- | ------- | - | ---------- |
|             6827428 ps|             6832504 ps|WR-NONSEQ | 3FF17300 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6827428 ps|             6832504 ps|WR-DATA   | 3FF172F0 |  1/ 1 | -- | 823BC783 |  OKAY  | ---- | ------- | - | ---------- |
|             6832504 ps|             6837404 ps|WR-NONSEQ | 3FF17310 | ----- |  1 | -------- |  ----  |SINGLE|    4    | B |           0|
|             6832504 ps|             6837404 ps|WR-DATA   | 3FF17300 |  1/ 1 | -- | 64D7599E |  OKAY  | ---- | ------- | - | ---------- |
|             6837404 ps|             6842404 ps|WR-NONSEQ | 3FF17320 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6837404 ps|             6842404 ps|WR-DATA   | 3FF17310 |  1/ 1 | -- | FD949A49 |  OKAY  | ---- | ------- | - | ---------- |
|             6842404 ps|             6847454 ps|WR-NONSEQ | 3FF17330 | ----- |  1 | -------- |  ----  |SINGLE|    4    | A |           0|
|             6842404 ps|             6847454 ps|WR-DATA   | 3FF17320 |  1/ 1 | -- | FD8F7612 |  OKAY  | ---- | ------- | - | ---------- |
|             6847454 ps|             6852430 ps|WR-NONSEQ | 3FF17340 | ----- |  1 | -------- |  ----  |SINGLE|    4    | D |           0|
|             6847454 ps|             6852430 ps|WR-DATA   | 3FF17330 |  1/ 1 | -- | D9A2145F |  OKAY  | ---- | ------- | - | ---------- |
|             6852430 ps|             6857506 ps|WR-NONSEQ | 3FF17350 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 9 |           0|
|             6852430 ps|             6857506 ps|WR-DATA   | 3FF17340 |  1/ 1 | -- | 0963C6E7 |  OKAY  | ---- | ------- | - | ---------- |
|             6857506 ps|             6862506 ps|WR-NONSEQ | 3FF17360 | ----- |  1 | -------- |  ----  |SINGLE|    4    | 1 |           0|
|             6857506 ps|             6862506 ps|WR-DATA   | 3FF17350 |  1/ 1 | -- | ECC230BB |  OKAY  | ---- | ------- | - | ---------- |
